	BP4	BP5	BP6	BP7	BP8	BP9	DBS1.1	DBS1.2	DBS1.3	DBS2.1	DBS2.4	DBS2.5	DS3	DS4	DX1	DX2	DX4	Fk1	Fk2	Fk3	Fk4	Fk5	HSP1	HSP2	JA1	JA2	JA3	JA4	JA5	JA6	LL2	LL3	LL4	LL6	LL7	LSA1	LSA2	LSA3	LSA4	LSA5	MAS1	MAS2	MAS3	MAS4	MAS5	SKS1	SKS3	SKS4	SKS5	TL1.1	TL1.2	TL1.3	TL1.4	TL1.5	TL2.1	TL2.2	TL2.3	TL2.4	TL2.5	WH1	WH2	WH3	WH4	WH5	WY1	WY2	WY3	WY4	WY5	YF1	YF2	YF3	YF4	YF5	YP1	YP2	YP3	YP4	YP5	YS1	YS2	YS3	YS4	YS5	ZJ1	ZJ2	ZJ3	ZJ4	ZJ5	ZJ7
ASV0020	3	5	0	0	0	0	75	58	63	46	28	59	309	304	12	6	6	7	102	119	46	76	1047	144	2	0	1	1	3	1	4	3	4	0	0	1249	1032	1044	1419	1291	302	369	445	112	189	167	10	14	219	795	1051	801	973	256	1857	1011	1236	1091	498	268	467	1077	446	666	30	52	52	26	26	120	712	148	385	654	64	42	26	92	5	3	255	418	432	334	1	2	2	3	0	1
ASV0021	27	21	23	21	25	19	56	13	63	5	18	70	55	57	10	6	1	5	152	126	76	68	0	1	87	19	121	50	143	23	13	14	14	9	9	2200	2434	1564	2120	1101	746	1002	2111	659	1830	0	2	2	0	150	228	398	296	5153	0	16	13	1	0	15	1728	0	0	4	12	16	15	13	18	7	118	40	159	95	0	0	5	3	8	0	4	59	27	8	0	1	2	0	2	10
ASV0023	13	0	7	7	2	3	0	0	15	0	544	181	377	436	210	1363	1560	35	3	432	300	1641	958	491	14	13	9	16	24	10	0	2	0	6	0	33	54	35	25	34	0	19	60	56	20	33	28	39	112	152	192	536	544	74	0	0	0	69	40	0	32	0	0	16	31	35	29	54	38	13	217	328	276	207	0	7	30	27	22	2893	1895	2133	1875	2211	23	15	21	22	16	7
ASV0024	43	44	34	37	27	55	93	89	233	84	22	248	1315	1158	6	11	4	2	4	10	23	3	470	573	21	14	33	10	54	7	295	240	264	147	115	284	455	242	293	221	186	108	32	30	64	48	34	30	50	18	6	4	6	37	40	317	425	977	1056	1087	77	359	317	360	30	24	31	31	33	72	2045	1081	1591	1323	51	9	7	709	6	1028	911	421	359	297	28	5	6	13	10	20
ASV0029	2	0	4	2	1	4	527	435	386	54	582	119	92	93	16	67	2	578	1891	1224	1017	1415	5	5	3	1	2	0	1	0	5	6	6	3	0	438	398	462	449	448	564	426	521	98	245	2	0	2	6	352	617	147	194	1654	70	359	619	504	291	5	425	16	5	333	33	38	43	29	28	148	221	61	144	316	97	337	89	202	26	10	181	327	339	264	5	0	0	1	1	3
ASV0030	19	10	19	10	21	20	18	18	28	14	21	119	104	125	3	2	3	15	93	80	24	44	15	3	2	4	1	2	2	2	18	21	19	7	13	250	250	136	169	128	372	258	101	14	136	52	8	4	10	220	798	467	534	141	42	1718	2776	1473	1432	63	310	8	110	1130	25	18	19	19	27	103	1040	327	651	540	0	3	9	0	4	49	303	822	1024	1263	2	5	4	5	6	11
ASV0033	24	39	82	127	83	90	28	23	74	12	28	240	51	57	4	6	8	9	54	29	19	25	118	80	44	28	35	146	114	14	514	487	667	311	296	13	44	36	23	18	1417	426	295	72	346	28	1341	975	416	196	415	6	8	201	197	212	256	61	166	524	444	164	462	121	149	26	53	27	15	28	92	34	26	15	3	3	4	4	2	820	512	114	43	56	396	482	483	486	485	335
ASV0035	18	16	16	6	9	11	116	122	130	13	6	1786	9	9	14	26	7	3	6	4	4	9	1	2	949	1074	1400	1858	1346	1498	91	143	124	121	118	10	8	9	10	7	1024	683	842	578	825	20	12	16	21	4	4	3	2	31	0	5	2	2	4	4	524	1	2	3	7	11	8	9	7	59	54	26	72	82	7	10	16	23	13	16	25	11	10	18	117	57	81	103	113	98
ASV0037	26	18	21	12	14	17	1	8	5	0	0	52	9	15	11	3	2	39	0	0	0	0	3	0	3	0	4	1	0	0	13	13	12	14	8	17	15	21	12	13	2670	1707	2706	1246	2084	5	4	6	2	7	3	4	5	0	0	9	4	4	2	4	1161	0	1	1	16	8	11	21	11	7	285	34	85	225	1	48	52	10	51	0	4	8	20	5	2	1	0	0	2	9
ASV0040	18	35	23	15	9	27	20	33	53	3	1	204	29	17	19	17	12	2	0	2	2	4	3	6	389	811	245	463	157	252	224	310	419	260	221	11	31	24	33	15	189	25	34	47	60	43	50	146	194	1	2	0	1	2	0	0	0	0	0	3	33	0	0	0	53	8	12	8	10	60	27	19	30	49	8	5	11	15	6	196	110	14	20	25	1161	615	1098	1420	1367	516
ASV0043	7	17	7	5	5	6	0	2	9	11	0	353	55	59	3	0	0	0	0	0	1	0	165	110	0	1	0	0	0	0	3	0	3	8	1	97	33	71	74	35	388	523	447	20	30	22	9	12	80	99	359	269	203	639	43	75	175	127	71	271	1203	114	72	39	31	25	8	20	21	171	1201	154	446	366	3	3	0	20	4	110	181	365	323	74	4	1	0	5	8	3
ASV0045	2	0	0	2	0	0	38	53	44	7	6	4	45	64	1	2	3	2	9	15	10	9	67	88	1	2	2	0	0	0	0	2	2	2	0	181	257	233	221	361	34	48	33	6	28	18	2	0	10	264	313	176	219	53	63	1016	863	928	830	61	54	99	45	1155	5	11	4	4	2	31	265	26	147	112	0	14	5	18	1	1	85	144	298	246	1	0	0	2	0	0
ASV0046	22	16	24	11	11	19	62	71	99	10	2	44	145	135	44	34	29	0	0	5	2	1	74	56	749	710	771	838	493	527	189	203	244	100	87	258	283	213	219	140	145	78	73	105	52	11	19	18	37	43	80	6	6	240	14	1	4	0	0	4	94	5	16	3	9	7	10	8	6	27	30	59	33	31	7	4	10	48	10	453	280	36	48	39	44	27	38	44	49	44
ASV0049	280	200	160	89	135	169	137	164	645	21	18	44	25	12	119	16	190	0	0	8	1	0	0	3	1839	1848	173	82	24	1253	16	30	16	31	27	6	2	2	4	4	18	8	6	6	25	36	37	49	92	3	0	0	3	2	1	0	0	1	0	0	4	1	2	0	19	49	32	31	39	387	14	3	8	6	1	8	5	17	8	4	8	6	1	4	53	21	37	35	41	55
ASV0050	14	12	14	7	4	14	0	6	2	3	6	53	11	15	4	1	2	2	43	32	15	17	7	22	1	1	0	0	0	0	9	15	9	10	10	384	296	326	284	247	1018	990	978	473	625	3	0	2	2	58	109	6	6	1370	0	40	34	18	9	1	842	0	0	2	9	11	8	5	12	3	87	6	30	28	0	2	4	0	7	4	25	50	79	74	1	1	0	1	3	16
ASV0052	35	26	23	25	22	60	866	863	477	678	229	104	115	104	8	9	6	7	3	85	36	17	5	9	2	2	3	1	1	0	8	7	11	13	8	12	8	11	1	7	300	252	188	579	524	122	45	107	779	0	4	4	4	9	11	7	1	3	3	90	246	66	4	3	92	27	36	24	21	401	33	9	18	26	15	19	18	99	11	36	167	56	93	266	27	6	11	9	14	21
ASV0053	6	12	13	10	8	3	27	46	37	11	6	111	97	81	7	131	125	6	9	18	6	5	31	30	19	18	6	13	26	7	15	21	26	13	21	217	305	279	222	209	147	239	181	66	46	4	9	5	4	360	301	86	58	118	21	334	428	544	406	5	148	17	2	188	3	3	8	10	12	27	680	43	584	1070	3	3	2	24	5	31	62	17	74	112	5	6	3	10	5	8
ASV0060	2	0	1	0	4	5	16	63	102	6	22	868	2	0	9	317	401	0	149	69	8	13	50	52	3	8	16	81	120	12	0	0	0	1	0	112	270	140	92	58	75	60	21	23	58	18	9	38	239	27	148	83	97	49	58	84	152	117	122	397	96	485	122	82	15	1	25	9	6	21	150	31	66	35	0	13	1	0	5	98	168	578	559	272	3	2	2	3	4	0
ASV0061	0	0	0	0	2	2	2	4	0	22	124	5	18	17	31	137	10	166	25	69	233	210	11	3	2	0	0	0	3	0	3	0	2	4	0	28	28	57	48	25	6	6	5	3	10	11	2	8	12	1313	1366	111	130	294	10	22	20	11	6	2	1	8	3	7	7	7	11	7	3	70	150	28	128	208	514	39	13	344	5	56	158	440	498	314	3	0	3	3	7	0
ASV0068	18	30	95	117	82	81	210	161	95	12	27	16	59	36	606	386	121	66	25	24	30	62	7	1	64	30	93	49	103	19	17	26	31	26	21	129	228	131	128	137	141	163	108	147	120	21	9	11	24	0	0	1	4	29	0	27	41	29	20	0	151	1	0	9	8	8	6	7	7	28	12	2	6	8	101	355	188	561	210	29	45	51	94	79	23	27	21	34	35	21
ASV0100	5	0	2	0	1	5	3	5	4	0	6	51	4	3	1	1	0	1	35	23	38	31	1	2	13	28	105	78	217	7	133	103	137	58	41	0	5	5	3	2	26	30	32	37	27	0	1	2	2	0	3	0	3	4	0	0	0	0	0	0	5	0	0	0	37	2	1	0	1	5	17	7	11	21	2	7	4	5	1	0	3	2	2	2	702	221	313	389	366	488
ASV0103	0	2	0	0	0	0	66	78	48	10	16	123	43	45	76	94	26	13	53	61	30	22	8	5	0	2	0	1	18	0	2	1	0	0	0	171	137	152	141	177	120	294	290	34	95	5	0	8	113	25	15	3	0	74	1	93	119	96	73	0	251	0	0	29	6	15	12	14	13	22	25	6	22	24	2	46	59	47	11	1	25	67	95	43	0	0	0	0	1	0
ASV0111	27	42	22	41	19	43	0	0	6	11	0	315	4	6	3	7	15	0	0	2	0	0	4	4	3	4	5	4	2	4	0	5	2	4	2	1	3	1	0	0	2	0	2	0	3	135	236	1015	681	2	0	0	0	0	1	1	0	0	0	2	3	2	8	0	393	52	93	12	106	5	1	2	3	3	0	0	3	1	10	30	16	15	8	32	4	2	1	5	7	7
ASV0192	5	5	5	2	0	4	33	9	18	5	14	12	37	37	112	84	51	4	0	9	15	14	1	1	27	4	5	2	7	2	0	2	0	0	0	8	10	8	3	19	64	38	39	52	219	35	12	18	54	0	0	0	3	5	0	0	0	0	0	0	50	0	0	0	4	12	5	4	8	81	4	1	1	1	13	88	138	67	29	0	4	2	5	2	7	1	1	2	2	0
ASV0244	2	8	2	2	2	2	5	6	21	0	0	100	12	7	13	74	19	2	0	0	0	0	45	18	53	30	12	94	9	184	1	5	0	0	3	7	15	14	8	16	14	4	4	1	9	21	14	4	43	0	1	0	0	2	0	0	0	0	0	0	13	0	1	2	30	10	10	20	4	5	17	12	14	5	0	2	0	0	0	51	40	2	0	2	0	2	1	2	3	0
ASV0269	4	6	5	3	10	6	9	10	5	2	3	21	8	8	3	3	7	2	13	10	5	7	12	28	3	0	2	2	2	5	2	4	1	3	1	3	9	0	2	0	47	16	22	41	46	2	0	0	4	0	0	1	3	0	3	19	31	18	10	122	35	8	20	10	11	5	5	3	3	9	27	5	14	31	2	9	21	6	18	46	50	26	21	20	0	0	0	0	0	5
ASV0004	7	7	4	4	2	6	24	30	34	10	2	34	229	556	11	2	3	3	5	5	14	10	0	0	1	0	1	0	2	0	32	36	41	17	12	2081	1096	1543	2156	1633	103	115	104	29	45	324	44	56	43	3319	2565	5964	6695	436	10950	2104	3045	2655	2393	232	358	797	34	1980	43	59	81	42	32	138	357	70	153	192	4	4	8	4	0	29	1125	2233	2160	1510	20	5	3	8	6	2
ASV0013	111	133	79	76	61	119	5	8	91	0	0	0	112	107	823	6585	9428	0	0	0	0	0	13	8	112	132	162	97	106	238	2052	2682	2016	1754	1573	7	9	10	17	10	8	10	12	9	8	29	20	10	16	5	2	5	1	6	0	0	0	0	0	51	0	0	0	0	38	35	36	36	22	10	37	91	84	37	6	4	6	7	5	256	387	18	36	21	355	425	414	338	417	389
ASV0022	65	94	88	109	108	159	125	244	188	21	0	324	82	79	39	60	44	0	0	0	0	0	9	4	428	289	288	292	344	67	2849	3192	3283	2093	1981	26	54	44	44	60	387	203	105	113	151	13	25	8	36	7	6	6	8	36	0	14	12	17	2	8	98	0	0	0	31	31	30	28	21	34	96	85	124	50	5	3	114	104	9	401	398	74	46	37	721	538	651	878	750	688
ASV0025	2	4	4	2	6	3	362	111	173	0	0	0	984	773	0	0	0	111	0	0	84	0	4092	1506	8	4	11	2	5	1	0	0	0	4	0	86	153	81	68	126	0	22	1	0	0	82	19	12	31	36	35	0	0	14	591	25	12	49	73	4139	50	1310	6548	78	25	18	20	30	16	12	0	0	0	0	0	12	8	12	36	0	0	0	49	228	4	2	3	3	5	12
ASV0027	5	0	0	3	3	0	249	184	150	91	605	118	114	118	11	24	2	897	2067	1059	1211	1470	2	1	1	1	0	2	7	0	1	2	0	2	5	169	159	190	168	144	1504	2287	1969	1132	1574	4	0	4	21	8	0	13	32	220	4	57	112	83	34	0	1995	3	3	43	21	50	26	22	15	19	69	12	35	87	216	363	136	104	29	0	35	70	62	62	0	0	0	0	0	0
ASV0032	26	24	32	16	19	48	217	144	99	59	109	42	72	83	97	32	11	161	251	283	361	374	40	28	54	0	0	1	39	0	0	29	0	1	8	1688	2062	1316	1894	1391	686	515	470	329	542	9	5	3	121	182	407	107	97	581	31	298	173	161	196	9	348	3	7	86	33	26	24	28	9	58	219	66	76	175	5	114	33	78	20	50	73	90	84	54	0	0	0	0	0	0
