	BP4	BP5	BP6	BP7	BP8	BP9	DBS1-1	DBS1-2	DBS1-3	DBS2-1	DBS2-4	DBS2-5	DS3	DS4	DX1	DX2	DX4	FK1	FK2	FK3	FK4	FK5	HSP1	HSP2	JA1	JA2	JA3	JA4	JA5	JA6	LL2	LL3	LL4	LL6	LL7	LSA1	LSA2	LSA3	LSA4	LSA5	MAS1	MAS2	MAS3	MAS4	MAS5	SKS1	SKS3	SKS4	SKS5	TL1-1	TL1-2	TL1-3	TL1-4	TL1-5	TL2-1	TL2-2	TL2-3	TL2-4	TL2-5	WH1	WH2	WH3	WH4	WH5	WY1	WY2	WY3	WY4	WY5	YF1	YF2	YF3	YF4	YF5	YP1	YP2	YP3	YP4	YP5	YS1	YS2	YS3	YS4	YS5	ZJ1	ZJ2	ZJ3	ZJ4	ZJ5	ZJ7
DBS2-5.bin41	0	0	0	0	0	0	0.49594807	0.363925302	0.498877158	0.244314605	0	50.53539264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584647787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBS2-5.bin59	0	0	0	0	0	0	2.400160016	3.228630665	2.264234079	3.190872881	0	14.93217451	0.66723793	1.694934244	0.555607238	2.943303292	0	0	0	0	0	0	0	0	0.110137447	0	0	0	0	0	0	0	0	0	0	0.185081624	0.322448935	0.242673992	0.359207748	0.518214904	0	0	0	0	0	0	0.024187316	0	0	0	0	0.001296299	0	0	0	0	0	0	0	0	0	0	0	0	0.294073767	0.414307529	0.485859031	0.362412548	0	0.011431325	0.016970834	0	0	0.143660908	0	0	0	0	0	0.049345202	0.068199667	0.080887259	0.275955609	0.143660925	0.119784746	0	0.014682666	0.038503847	0.016963314	0
DS3.bin6	0	0	0	0	0	0	1.627513052	2.384720123	0.920311427	0.278521245	0.582456526	6.145891673	3.528816412	3.009070981	0.167112946	0.201348511	0	1.676289388	2.925669577	2.120296506	2.828391299	1.783345149	2.291337596	4.518404099	0.37241607	0.232489036	1.836850102	0.429905267	3.958790398	0.098217461	0.158586712	0.08055647	0.108518499	0.00253057	0	12.38039424	8.727888835	10.52075911	16.19262948	18.32744333	59.76638461	22.02175787	10.98493289	14.89887301	8.737973897	0.135919639	0.019557875	0.023002562	0.201706727	9.498002234	7.704363794	5.532350751	6.818986593	5.258016	6.099878079	11.12404098	16.9650188	15.28784392	9.829043799	0.471530667	9.173629396	2.513487648	0.216218504	4.627834596	0.257339928	0.356333833	0.514367049	0.352973603	0	1.335898746	2.843835143	0.838478775	1.290924982	0.820249816	0	0.131651744	0.463630834	0.176840161	0.024721265	0.496608678	0.586194508	0.890834664	2.881504977	0.820249914	0.100745161	0	0.01404323	0.035179779	0.019628173	0
DX1.bin38	0.030210493	0.025406149	0.045709226	0	0	0	3.593813411	4.238321877	1.581119205	0.697565445	0.720188074	14.96024317	0.489973182	0.411301947	12.40493602	19.46077659	0.735023654	2.123465047	0.530459683	1.43443306	3.003753216	1.505307152	0.366994369	0.525672733	0	0	0	0	0	0	0.288721804	0.131585978	0.555087961	0.023285882	0.022746132	10.79783966	5.524752933	11.18994216	12.5412551	8.902984098	42.88838128	52.89414501	36.96928166	39.1645763	42.09658693	0.417299676	0.130526084	0.021047146	0.318143117	4.680150115	3.694432806	1.974112317	2.309104356	18.52116745	0.105983139	1.745515531	2.522450788	1.401358139	1.29418527	0	23.99976136	0.082087839	0	0.864127178	0.355770063	0.554607237	0.784664312	0.459691652	0	2.548127527	6.072866153	2.309064955	5.724265869	1.455018119	72.11276619	4.487784784	7.118836747	26.67754989	0.946429305	1.660438311	1.952624365	2.154445757	4.038356415	1.455018293	0.044101617	0	0	0.022005393	0	0
DX1.bin5	0	0	0	0	0	0	0.200290278	0.266933777	0.044325658	0.123812941	4.669937744	0.158257866	0.208224516	0.159746714	4.284832418	2.513178336	0.031735322	5.010634052	0.482784048	3.000909269	8.290195147	0.987192342	0	0	0	0	0	0	0	0	0.046442509	0	0.03579578	0	0	0.465300599	0.170763015	1.518409632	0.903071514	0.098097861	0.050150361	0.072784998	0.061063167	0.033566053	0.00553899	0	0	0	0	1.414488247	0.69661859	0.255967763	0.40066157	9.87811589	0	8.929293346	35.89253571	15.91276423	26.25600495	0	0.043892465	0	0	11.95215109	0.032888167	0.048680796	0.103458989	0.042098156	0	2.218857443	4.296609383	1.439082135	2.320219622	0.77260021	0	0.079796201	0.02370294	0.070066292	0	0.657901122	0.785936608	0.786245249	2.478092044	0.772600303	0.014565012	0	0	0	0	0
DX2.bin12	0.029445549	0.026882352	0.044549126	0	0	0	3.988220575	4.795057628	1.674042289	0.686724567	0.53906616	15.55915766	0.414682968	0.350557635	10.22079318	20.50572814	0.405719666	1.99373413	0.342847876	1.071960802	2.806949909	1.369296851	0.375100741	0.635294498	0	0	0	0	0	0	0.35664563	0.146654351	0.606729179	0.028694073	0.02939384	11.97930971	5.901369493	12.25517477	13.79501147	10.05247023	42.89834991	54.71307258	39.82225535	39.91176193	41.81294447	0.403218697	0.14275373	0.00811272	0.260218599	5.087613025	3.946304874	1.833294381	2.175404339	20.28163109	0.197793702	2.674279571	2.930622554	1.695604805	1.89516147	0	25.22126991	0.144026703	0	1.356969933	0.396689424	0.619797244	0.872427971	0.528317286	0.000406435	2.830943431	6.407106719	2.361814027	6.109536824	1.326169637	81.16947387	4.966998058	7.699481755	30.45303203	0.906902079	1.831449868	1.845919354	2.111923436	4.037293254	1.326169796	0.05807082	0	0	0.030525401	0.001954526	0
DX2.bin58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.742707481	9.094052567	0.693424996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076524654	0	0	0	0.105677235	0.060883117	2.379246426	5.260238664	4.867792026	0.696229291	0.747816053	0.643539719	0.289154643	0.867071548	0.105677248	0	0	0	0	0	0
FK1.bin29	0	0	0	0	0	0	1.767145309	2.034345234	1.002441495	1.25029918	38.0638095	13.86262277	12.83227963	11.06209795	0.091039218	0.437203111	0	104.9308835	1.263600666	24.55630229	48.19865376	22.14417864	0.214465954	0.235267638	0	0	0	0	0	0	0.081737388	0.036565859	0.054457644	0	0	15.91063258	14.01443486	12.77330441	25.40078003	29.72792475	92.09631015	36.14433201	12.0265772	28.32092721	32.87210813	3.936607798	5.424407089	4.715647364	5.271451907	2.338001918	1.556929644	4.237247899	5.762960887	1.972289495	0.006648122	0.148475167	0.273056414	0.142436686	0.098295494	0	13.47946838	0	0	0.031622805	1.08422485	1.574959747	1.866399571	1.392007491	0.908060364	0.829794993	1.144465255	0.222857919	0.752013054	1.556298333	0.321966604	0.209923118	4.90886831	5.071846975	0.274880643	2.415249877	2.178185645	2.202314442	5.979049348	1.556298519	0.130550963	0.014495716	0.017693936	0.074867183	0.038162222	0
FK1.bin51	0	0	0	0	0	0	0.052322569	0.082810521	0.07263915	0.295110276	3.893324317	0	0	0	0	0	0	8.817561174	1.818216659	3.280000984	5.921454463	3.905950365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.573793394	1.600454074	0.579318093	2.366373583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FK1.bin66	0	0	0	0	0	0	0	0	0	0.058218625	3.78894189	0	0	0	0	0	0	12.09197876	59.33412796	17.03486725	13.56198491	6.718578471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025931218	0.030858837	0	0.024926515	0.0071656	0	0.027359577	0.106735954	0	0.024254475	0.154278203	0.156847434	0	0.112186018	0.007165601	0.167657734	0	0	0	0	0
