	bin	env	Random	spat	R2
35	SKS1.bin114	0.485995231	0.25093169	0.263073079	0.83684163
186	WY2.bin12	0.349435636	0.334213076	0.316351288	0.834729022
178	YF5.bin20	0.355694592	0.109338645	0.534966763	0.828769214
222	SKS1.bin31	0.321654917	0.33724474	0.341100343	0.828199296
28	JA2.bin5	0.505626193	0.366125888	0.128247919	0.827464467
275	WH1.bin5	0.283082453	0.288063245	0.428854303	0.82458377
286	YF3.bin9	0.275216758	0.451341936	0.273441306	0.824285169
284	BP6.bin134	0.275728471	0.222197148	0.502074382	0.822761903
170	MAS4.bin58	0.361366255	0.159906164	0.478727581	0.82201999
360	MAS1.bin61	0.201669251	0.214209469	0.58412128	0.82116605
146	JA4.bin3	0.383502625	0.35400339	0.262493986	0.820949431
395	JA6.bin17	0.154984248	0.060151729	0.784864023	0.819962355
152	TL2-1.bin7	0.377885515	0.27324181	0.348872674	0.818361725
255	TL2-2.bin29	0.297038981	0.282110811	0.420850208	0.817294802
335	YF4.bin22	0.222038444	0.550244937	0.227716619	0.816201553
12	FK3.bin148	0.559295782	0.136557383	0.304146834	0.815970738
102	YF2.bin80	0.412721526	0.199645228	0.387633246	0.814902555
75	TL1-1.bin1	0.440843701	0.269609845	0.289546454	0.814728512
20	MAS1.bin53	0.529584818	0.237654378	0.232760804	0.812337965
81	YS1.bin24	0.433652679	0.41778899	0.148558331	0.806281245
319	YF1.bin3	0.243526872	0.162431267	0.594041862	0.803615579
71	YS5.bin51	0.446866415	0.400573549	0.152560037	0.802867885
103	TL2-5.bin13	0.412107898	0.170098482	0.41779362	0.797578302
120	SKS3.bin93	0.399319523	0.124535682	0.476144795	0.795382806
182	SKS1.bin40	0.351098476	0.101082352	0.547819172	0.794956221
277	MAS3.bin26	0.281811588	0.192074166	0.526114246	0.794348233
403	TL1-4.bin50	0.130874221	0.151509714	0.717616065	0.794052078
241	YP3.bin99	0.313087282	0.510525198	0.17638752	0.788691652
341	TL1-5.bin20	0.216371205	0.543611753	0.240017042	0.787184345
364	DBS1-2.bin32	0.192045415	0.471118058	0.336836527	0.785469916
304	DX4.bin23	0.26010865	0.328033593	0.411857758	0.783384261
218	WH2.bin82	0.324496892	0.213704745	0.461798363	0.783148875
196	YP2.bin46	0.345068228	0.374209628	0.280722144	0.782322
