	bin	env	Random	spat	R2
136	SKS4.bin47	0.387877967	0.293299438	0.318822594	0.602504245
126	ZJ4.bin12	0.396373986	0.070169784	0.533456229	0.597383041
164	TL2-2.bin24	0.365164559	0.274979892	0.359855549	0.595556561
309	ZJ1.bin62	0.252587634	0.085054432	0.662357934	0.591833647
333	DBS1-3.bin12	0.230187015	0.34915805	0.420654935	0.590624911
214	YP5.bin20	0.328061057	0.300793154	0.371145789	0.58880524
188	MAS3.bin171	0.348576238	0.427324032	0.22409973	0.585191024
228	WY4.bin52	0.320532941	0.209037859	0.4704292	0.583068754
34	BP6.bin125	0.492074367	0.147714907	0.360210726	0.580561472
324	YP1.bin82	0.240894044	0.338490821	0.420615135	0.580444244
327	YF1.bin62	0.234721614	0.318839031	0.446439355	0.578667737
261	DBS1-1.bin55	0.291433952	0.311723661	0.396842387	0.578240565
265	JA6.bin13	0.287684056	0.038682553	0.673633391	0.576488404
161	HSP1.bin13	0.370116429	0.437062862	0.192820709	0.572252831
371	ZJ4.bin29	0.186590453	0.026901569	0.786507978	0.568058835
169	ZJ1.bin68	0.361792333	0.058684584	0.579523083	0.566158453
291	BP5.bin75	0.267653232	0.157994151	0.574352616	0.564164442
266	BP5.bin72	0.287298876	0.298983798	0.413717326	0.563540533
297	FK3.bin41	0.265112989	0.216752439	0.518134572	0.56190116
56	FK4.bin26	0.459017177	0.236828529	0.304154294	0.561601955
343	BP6.bin53	0.214831045	0.100025707	0.685143249	0.560118148
195	LL7.bin44	0.345366469	0.28460367	0.370029861	0.556823816
237	FK3.bin172	0.314359276	0.271040506	0.414600217	0.550654754
298	LL6.bin61	0.264629164	0.030593223	0.704777614	0.549039396
215	ZJ1.bin55	0.327230754	0.047818088	0.624951157	0.547797209
64	SKS3.bin90	0.453899233	0.270729138	0.275371629	0.54493466
37	TL1-5.bin49	0.483534433	0.213102876	0.30336269	0.538930553
383	FK2.bin27	0.176324711	0.268550845	0.555124444	0.535298376
110	ZJ7.bin13	0.406845037	0.038723972	0.554430992	0.5345958
176	BP4.bin6	0.357846066	0.231274467	0.410879467	0.531127218
328	MAS5.bin21	0.233773392	0.243989706	0.522236902	0.527910916
192	ZJ3.bin10	0.346487259	0.095601071	0.55791167	0.523805123
267	BP9.bin9	0.286853095	0.046834544	0.666312361	0.520228358
87	WY1.bin124	0.423943568	0.286469147	0.289587285	0.519687528
315	DBS1-1.bin51	0.247181304	0.330976169	0.421842526	0.517333231
200	SKS5.bin85	0.343495363	0.253480401	0.403024236	0.517302497
384	YP2.bin30	0.175835882	0.527900827	0.296263291	0.510907682
347	BP8.bin116	0.212406409	0.102429724	0.685163866	0.505349522
21	LSA5.bin10	0.529161505	0.16437289	0.306465606	0.496382337
340	TL2-4.bin14	0.217693736	0.42521195	0.357094314	0.492887648
311	HSP2.bin10	0.251010197	0.286618928	0.462370875	0.490693182
92	MAS3.bin100	0.421416628	0.323992167	0.254591205	0.487341033
61	LL6.bin43	0.454866222	0.040530752	0.504603026	0.486239062
363	LL2.bin50	0.198427713	0.057475297	0.744096991	0.479489611
109	LL3.bin3	0.409000387	0.111484096	0.479515517	0.478595294
40	WY3.bin64	0.482337774	0.148870676	0.36879155	0.476310211
135	WY4.bin45	0.389349649	0.195784928	0.414865423	0.473600799
30	JA4.bin62	0.502282616	0.032284351	0.465433033	0.465712073
308	WH4.bin42	0.255099391	0.315913308	0.4289873	0.457222001
221	ZJ5.bin57	0.32202899	0.05674753	0.62122348	0.454462733
378	BP5.bin57	0.180426013	0.145677892	0.673896095	0.453842076
248	ZJ4.bin40	0.305429384	0.031770543	0.662800073	0.453069149
263	LSA3.bin15	0.291304851	0.376926641	0.331768508	0.452828251
296	DBS2-1.bin99	0.265411877	0.417484035	0.317104088	0.440940785
142	ZJ2.bin14	0.385548331	0.08060609	0.533845579	0.438651188
231	BP9.bin43	0.316962748	0.405073756	0.277963496	0.437322981
44	ZJ7.bin6	0.476552558	0.13191882	0.391528622	0.43617698
361	ZJ3.bin22	0.200999096	0.055872816	0.743128088	0.432737004
90	BP5.bin120	0.423032626	0.475819588	0.101147786	0.419659743
107	BP5.bin128	0.410092738	0.091115864	0.498791398	0.415326995
206	BP6.bin89	0.338573439	0.352220336	0.309206224	0.412604009
16	BP4.bin11	0.534593159	0.388672905	0.076733936	0.411441529
96	BP9.bin99	0.41973563	0.344853081	0.235411289	0.395063064
407	DBS1-3.bin71	0.117141617	0.094485539	0.788372844	0.389157804
50	DBS2-4.bin65	0.468789028	0.299693065	0.231517907	0.387317501
220	FK2.bin77	0.322125585	0.371325876	0.306548539	0.386484997
155	YP3.bin31	0.37524801	0.394388372	0.230363618	0.381771874
160	SKS1.bin110	0.370129525	0.243782862	0.386087612	0.380659066
159	SKS3.bin83	0.372060281	0.344695169	0.28324455	0.378389346
166	SKS3.bin101	0.363699154	0.286713541	0.349587305	0.36723296
149	ZJ2.bin36	0.382656436	0.065742493	0.551601071	0.363223362
